ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts,"Native Born, Male, Over 18","Naturalized U.S. Citizen, Male, Over 18","Native Born, female, Over 18","Naturalized U.S. Citizen, Female, Over 18"
12,86360,3212,2994,4012,75792,989366923,24275,40755,14.536302643545763,12428,5233,12980,5930
16,126606,4709,4390,5881,111113,1450443307,35588,40755,21.3106809947584,18220,7671,19030,8694
15,78079,2904,2707,3627,68525,894504149,21948,40755,13.142528549221147,11236,4731,11736,5362
20,140856,5239,4884,6543,123619,1613686787,39594,40755,23.70914062970814,20271,8535,21172,9673
49,68189,2536,2364,3167,59845,781202712,19167,40755,11.477843847010124,9813,4132,10249,4682
23,81714,3039,2833,3796,71715,936150442,22969,40755,13.754417935621023,11760,4951,12282,5611
29,74468,2770,2582,3459,65355,853132981,20932,40755,12.534681448699816,10717,4512,11193,5114
14,81146,3018,2813,3769,71216,929641869,22810,40755,13.658790538613559,11678,4917,12197,5572
3,138286,5144,4794,6424,121364,1584246745,38871,40755,23.276591938199758,19901,8379,20785,9496
4,113743,4231,3943,5284,99824,1303080919,31973,40755,19.145554764756497,16369,6892,17096,7811
2,89419,3326,3100,4154,78477,1024414234,25135,40755,15.051236298969634,12868,5418,13440,6140
35,80156,2981,2779,3723,70348,918300162,22531,40755,13.492152162844398,11535,4857,12048,5504
21,100066,3722,3469,4648,87821,1146385814,28128,40755,16.843307329122524,14401,6063,15041,6872
24,111344,4141,3860,5172,97719,1275593486,31298,40755,18.741694847261844,16024,6747,16736,7646
13,66079,2458,2291,3069,57993,757029488,18574,40755,11.122678040597352,9509,4004,9932,4538
48,73043,2717,2532,3393,64105,836812436,20532,40755,12.29489135066981,10512,4426,10979,5016
31,78178,2908,2710,3631,68611,895636701,21975,40755,13.15916860091111,11251,4737,11751,5368
47,128990,4798,4472,5992,113205,1477749852,36258,40755,21.711883214748553,18563,7816,19388,8858
38,82110,3054,2847,3814,72062,940685358,23081,40755,13.82104732544807,11816,4975,12342,5638
33,79166,2944,2745,3677,69478,906952791,22253,40755,13.325430581827458,11393,4797,11899,5436
30,71434,2657,2476,3318,62693,818377314,20080,40755,12.024032782188053,10280,4328,10737,4905
34,79669,2963,2762,3701,69920,912714707,22394,40755,13.410087700037542,11465,4827,11975,5471
28,161245,5998,5591,7490,141514,1847276800,45325,40755,27.14116876388605,23205,9770,24237,11073
40,81529,3032,2826,3787,71552,934021389,22917,40755,13.723136753705166,11733,4940,12254,5599
44,120352,4477,4173,5591,105625,1378795085,33830,40755,20.257987383591633,17320,7292,18090,8265
25,85019,3162,2947,3949,74615,974010461,23898,40755,14.310677374939328,12235,5151,12779,5838
50,59476,2212,2062,2763,52198,681381020,16718,40755,10.011210707846866,8559,3604,8940,4084
22,87328,3248,3028,4056,76641,1000455038,24547,40755,14.699215100600973,12567,5291,13126,5997
41,80786,3005,2801,3753,70900,925508256,22708,40755,13.598057305121177,11626,4895,12143,5548
18,65068,2420,2256,3022,57106,745445789,18290,40755,10.952484199279754,9364,3942,9780,4468
17,78892,2934,2735,3665,69238,903810625,22176,40755,13.279264225883624,11353,4780,11858,5417
6,100369,3733,3480,4662,88087,1149859134,28213,40755,16.894339184742584,14444,6081,15086,6892
5,97290,3619,3373,4519,85385,1114589378,27348,40755,16.37613725089773,14001,5895,14623,6681
43,90913,3381,3152,4223,79788,1041527965,25555,40755,15.302680292699126,13083,5508,13665,6243
8,94140,3501,3264,4373,82620,1078495914,26462,40755,15.84583297678407,13548,5704,14150,6465
42,64176,2387,2225,2981,56323,735229585,18039,40755,10.802382330807575,9236,3888,9646,4407
7,69813,2597,2420,3243,61270,799804813,19624,40755,11.751155772337444,10047,4230,10493,4794
39,79134,2943,2743,3676,69450,906589703,22244,40755,13.320095898464254,11388,4795,11894,5434
46,59105,2198,2049,2745,51873,677133584,16614,40755,9.948805119418353,8506,3581,8884,4059
32,134284,4995,4656,6238,117852,1538400991,37747,40755,22.603001859427483,19325,8137,20184,9222
1,129302,4809,4483,6007,113480,1481330817,36346,40755,21.7644966441181,18608,7835,19435,8879
19,86599,3221,3002,4023,76001,992103256,24342,40755,14.57650629442048,12462,5247,13016,5947
9,107222,3988,3717,4981,94101,1228374852,30140,40755,18.047933683169294,15430,6497,16116,7363
36,65683,2443,2277,3051,57645,752486018,18463,40755,11.055922971583366,9452,3980,9872,4510
37,78362,2915,2717,3640,68773,897742424,22027,40755,13.190107001199472,11277,4748,11778,5381
27,136272,5069,4725,6330,119596,1561173359,38305,40755,22.937585533909875,19611,8257,20483,9358
10,93332,3471,3236,4335,81911,1069247782,26235,40755,15.709954517130814,13432,5655,14028,6409
11,110091,4095,3817,5114,96619,1261243250,30946,40755,18.530853585274212,15843,6671,16548,7560
26,102326,3806,3548,4753,89804,1172283906,28763,40755,17.223815808699133,14726,6200,15380,7027
45,80655,3000,2796,3746,70785,924012102,22672,40755,13.576075012939752,11607,4887,12123,5539
